Cifras Oficiales de Población de los Municipios Españoles: Revisión del Padrón Municipal
Detalle municipal
Lugo: Población por municipios y sexo. 
Unidades:   Personas

,Total,,,,,,,,,,,,,,,,,,,
,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,
27 Lugo,342748.0,346005.0,348902.0,351530.0,353504.0,355195.0,355549.0,355176.0,356595.0,357625.0,358452.0,360512.0,361782.0,364125.0,365619.0,366934.0,367751.0, 370303.0,
27001 Abadín,2646.0,2721.0,2760.0,2811.0,2858.0,2896.0,2988.0, 3141.0,3201.0,3256.0,3326.0,3342.0,3432.0,3516.0,3531.0,3582.0, 3647.0,
27002 Alfoz,1903.0,1946.0,2009.0,2059.0,2078.0,2107.0,2133.0, 2216.0,2266.0,2312.0,2348.0,2398.0,2421.0,2462.0,2485.0,2506.0, 2553.0,
27003 Antas de Ulla,2152.0,2171.0,2219.0,2275.0,2346.0,2407.0,2499.0, 2573.0,2602.0,2640.0,2676.0,2719.0,2733.0,2769.0,2800.0,2856.0, 2969.0,
27004 Baleira,1392.0,1420.0,1448.0,1510.0,1533.0,1584.0,1641.0, 1684.0,1729.0,1778.0,1800.0,1845.0,1888.0,1923.0,1956.0,2002.0, 2055.0,
27901 Baralla,2774.0,2798.0,2834.0,2889.0,2916.0,2955.0,2998.0, 3100.0,3134.0,3193.0,3242.0,3279.0,3342.0,3344.0,3414.0,3450.0, 3488.0,
27005 Barreiros,2994.0,3061.0,3124.0,3166.0,3203.0,3244.0,3252.0, 3291.0,3294.0,3278.0,3323.0,3357.0,3370.0,3446.0,3493.0,3536.0, 3574.0,
27006 Becerreá,3012.0,3048.0,3072.0,3121.0,3181.0,3250.0,3276.0, 3334.0,3389.0,3424.0,3442.0,3532.0,3639.0,3732.0,3779.0,3796.0, 3897.0,
27007 Begonte,3179.0,3231.0,3322.0,3379.0,3413.0,3475.0,3538.0, 3587.0,3616.0,3682.0,3684.0,3748.0,3796.0,3818.0,3873.0,3903.0, 4084.0,
27008 Bóveda,1571.0,1570.0,1589.0,1624.0,1650.0,1669.0,1719.0, 1767.0,1824.0,1866.0,1900.0,1974.0,2008.0,2048.0,2087.0,2141.0, 2185.0,
27902 Burela,9660.0,9672.0,9631.0,9575.0,9536.0,9381.0,9171.0, 8755.0,8621.0,8348.0,8380.0,8176.0,8105.0,8045.0,7939.0,7915.0, 7925.0,
27009 Carballedo,2401.0,2465.0,2532.0,2593.0,2664.0,2752.0,2799.0, 2929.0,3010.0,3055.0,3061.0,3121.0,3173.0,3238.0,3295.0,3363.0, 3517.0,
