Cifras Oficiales de Población de los Municipios Españoles: Revisión del Padrón Municipal
Detalle municipal
Melilla: Población por municipios y sexo. 
Unidades:   Personas

,Total,,,,,,,,,,,,,,,,,,,
,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,
52 Melilla,84509.0,83679.0,80802.0,78476.0,76034.0,73460.0,71448.0,69440.0,66871.0,65488.0,68016.0,68463.0,69184.0,68789.0,66263.0,56929.0,60108.0,  
52001 Melilla,84509.0,83679.0,80802.0,78476.0,76034.0,73460.0,71448.0,69440.0,66871.0,65488.0,68016.0,68463.0,69184.0,68789.0,66263.0,56929.0,60108.0, 59576.0,
Notas:
