"id","Municipio","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996",""
"01","Araba/Álava","321932.0","321417.0","322557.0","319227.0","317352.0","313819.0","309635.0","305459.0","301926.0","299957.0","295905.0","294360.0","291860.0","288793.0","286497.0","285748.0","284595.0"," 281821.0",""
"02","Albacete","396987.0","400007.0","402837.0","402318.0","401682.0","400891.0","397493.0","392110.0","387658.0","384640.0","379448.0","376556.0","371787.0","367283.0","363263.0","361021.0","358597.0"," 359010.0",""
"03","Alicante/Alacant","1868438.0","1945642.0","1943910.0","1934127.0","1926285.0","1917012.0","1891477.0","1825264.0","1783555.0","1732389.0","1657040.0","1632349.0","1557968.0","1490265.0","1445144.0","1410946.0","1388933.0"," 1379762.0",""
"04","Almería","701688.0","699329.0","704219.0","702819.0","695560.0","684426.0","667635.0","646633.0","635850.0","612315.0","580077.0","565310.0","546498.0","533168.0","518229.0","512843.0","505448.0"," 501761.0",""
"05","Ávila","167015.0","168825.0","171265.0","172704.0","171896.0","171680.0","171815.0","168638.0","167818.0","167032.0","166108.0","165480.0","165138.0","163885.0","164991.0","166259.0","167132.0"," 169342.0",""
"06","Badajoz","690929.0","693729.0","694533.0","693921.0","692137.0","688777.0","685246.0","678459.0","673474.0","671299.0","663896.0","663142.0","662808.0","664251.0","661874.0","664625.0","663803.0"," 656848.0",""
"07"," Illes Balears","1103442.0","1111674.0","1119439.0","1113114.0","1106049.0","1095426.0","1072844.0","1030650.0","1001062.0","983131.0","955045.0","947361.0","916968.0","878627.0","845630.0","821820.0","796483.0"," 760379.0",""
"08","Barcelona","5523784.0","5540925.0","5552050.0","5529099.0","5511147.0","5487935.0","5416447.0","5332513.0","5309404.0","5226354.0","5117885.0","5052666.0","4906117.0","4804606.0","4736277.0","4706325.0","4666271.0"," 4628277.0",""
"09","Burgos","366900.0","371248.0","374970.0","375657.0","374826.0","375563.0","373672.0","365972.0","363874.0","361021.0","356437.0","355205.0","352723.0","349810.0","347240.0","347218.0","346355.0"," 350074.0",""
"10","Cáceres","408703.0","410275.0","413597.0","415446.0","415083.0","413633.0","412498.0","411531.0","412899.0","412580.0","411390.0","410762.0","410242.0","409130.0","407546.0","408949.0","405616.0"," 413396.0",""
"11","Cádiz","1240175.0","1238492.0","1245164.0","1243519.0","1236739.0","1230594.0","1220467.0","1207343.0","1194062.0","1180817.0","1164374.0","1155724.0","1140793.0","1131346.0","1125105.0","1119802.0","1107484.0"," 1105762.0",""
"12","Castellón/Castello","587508.0","601699.0","604564.0","604344.0","604274.0","602301.0","594915.0","573282.0","559761.0","543432.0","527345.0","518239.0","501237.0","485173.0","474385.0","467895.0","461712.0"," 456727.0",""
"13","Ciudad Real","519613.0","524962.0","530250.0","530175.0","529453.0","527273.0","522343.0","510122.0","506864.0","500060.0","492914.0","487670.0","484338.0","478581.0","476633.0","479087.0","479474.0"," 478672.0",""
"15"," A Coruña","1132735.0","1138161.0","1143911.0","1147124.0","1146458.0","1145488.0","1139121.0","1132792.0","1129141.0","1126707.0","1121344.0","1120814.0","1111886.0","1108002.0","1108419.0","1108980.0","1106325.0"," 1110302.0",""
"16","Cuenca","207449.0","211899.0","218036.0","219138.0","217716.0","217363.0","215274.0","211375.0","208616.0","207974.0","204546.0","202982.0","201614.0","201526.0","201053.0","200963.0","199086.0"," 201712.0",""
"17","Girona","756156.0","761632.0","761627.0","756810.0","753046.0","747782.0","731864.0","706185.0","687331.0","664506.0","636198.0","619692.0","598112.0","579650.0","565599.0","553348.0","543191.0"," 530631.0",""
"18","Granada","919455.0","919319.0","922928.0","924550.0","918072.0","907428.0","901220.0","884099.0","876184.0","860898.0","841687.0","828107.0","818959.0","812637.0","809004.0","813061.0","801177.0"," 808053.0",""
"19","Guadalajara","255426.0","257723.0","259537.0","256461.0","251563.0","246151.0","237787.0","224076.0","213505.0","203737.0","193913.0","185474.0","177761.0","171532.0","165347.0","161669.0","159331.0"," 157255.0",""
"20","Gipuzkoa","715148.0","713818.0","712097.0","709607.0","707263.0","705698.0","701056.0","694944.0","691895.0","688708.0","686513.0","684416.0","682977.0","680069.0","679370.0","677275.0","676439.0"," 676208.0",""
"21","Huelva","519229.0","520668.0","522862.0","521968.0","518081.0","513403.0","507915.0","497671.0","492174.0","483792.0","476707.0","472446.0","464934.0","461730.0","458998.0","457507.0","453958.0"," 454735.0",""
"22","Huesca","224909.0","226329.0","227609.0","228361.0","228566.0","228409.0","225271.0","220107.0","218023.0","215864.0","212901.0","211286.0","208963.0","205955.0","205430.0","205429.0","204956.0"," 206916.0",""
"23","Jaén","659033.0","664916.0","670242.0","670600.0","670761.0","669782.0","667438.0","664742.0","662751.0","660284.0","654458.0","651565.0","647387.0","645781.0","645711.0","649662.0","645792.0"," 648551.0",""
"24","León","484694.0","489752.0","494451.0","497799.0","499284.0","500169.0","500200.0","497387.0","498223.0","495902.0","492720.0","495998.0","496655.0","499517.0","502155.0","506511.0","506365.0"," 517191.0",""
"25","Lleida","438001.0","440915.0","443032.0","442308.0","439768.0","436402.0","426872.0","414015.0","407496.0","399439.0","385092.0","377639.0","371055.0","365023.0","361590.0","359361.0","357903.0"," 356456.0",""
"26"," La Rioja","319002.0","322027.0","323609.0","322955.0","322415.0","321702.0","317501.0","308968.0","306377.0","301084.0","293553.0","287390.0","281614.0","270400.0","264178.0","265178.0","263644.0"," 264941.0",""
"27","Lugo","342748.0","346005.0","348902.0","351530.0","353504.0","355195.0","355549.0","355176.0","356595.0","357625.0","358452.0","360512.0","361782.0","364125.0","365619.0","366934.0","367751.0"," 370303.0",""
"28","Madrid","6454440.0","6495551.0","6498560.0","6489680.0","6458684.0","6386932.0","6271638.0","6081689.0","6008183.0","5964143.0","5804829.0","5718942.0","5527152.0","5372433.0","5205408.0","5145325.0","5091336.0"," 5022289.0",""
"29","Málaga","1621968.0","1652999.0","1641098.0","1625827.0","1609557.0","1593068.0","1563261.0","1517523.0","1491287.0","1453409.0","1397925.0","1374890.0","1330010.0","1302240.0","1278851.0","1258084.0","1240580.0"," 1249290.0",""
"30","Murcia","1466818.0","1472049.0","1474449.0","1470069.0","1461979.0","1446520.0","1426109.0","1392117.0","1370306.0","1335792.0","1294694.0","1269230.0","1226993.0","1190378.0","1149328.0","1131128.0","1115068.0"," 1097249.0",""
"31","Navarra","640790.0","644477.0","644566.0","642051.0","636924.0","630578.0","620377.0","605876.0","601874.0","593472.0","584734.0","578210.0","569628.0","556263.0","543757.0","538009.0","530819.0"," 520574.0",""
"32","Ourense","322293.0","326724.0","330257.0","333257.0","335219.0","335642.0","336099.0","336926.0","338671.0","339555.0","340258.0","342213.0","343768.0","344623.0","345241.0","345620.0","344170.0"," 346913.0",""
"33","Asturias","1061756.0","1068165.0","1077360.0","1081487.0","1084341.0","1085289.0","1080138.0","1074862.0","1076896.0","1076635.0","1073761.0","1075381.0","1073971.0","1075329.0","1076567.0","1084314.0","1081834.0"," 1087885.0",""
"34","Palencia","167609.0","168955.0","170713.0","171668.0","172510.0","173306.0","173454.0","173281.0","173153.0","173471.0","173990.0","175047.0","176125.0","177345.0","178316.0","179465.0","179623.0"," 180571.0",""
