"ID","PROVINCE","2010","2011","2012","2013","2014"
"1","µLAVA","0.652272555396","0.654706525451","0.576642267878","0.650245631065","0.596399239591"
"2","ALBACETE","0.390856448633","0.390238567501","0.389735798847","0.267495318832","0.269530236506"
"3","ALICANTE","0.636977394311","0.655075907632","0.545292734746","0.527846335554","0.506840473165"
"4","ALMER÷A","0.253033526942","0.230500313737","0.234302113405","0.23594045149","0.235147244929"
"5","µVILA","0.191976543957","0.191078376876","0.192683852509","0.195468680586","0.19758704308"
"6","BADAJOZ","0.486897825142","0.451059990979","0.421866203622","0.566503634705","0.597745933374"
"7","ILLES BALEARS","1.10392939192","1.09602430658","1.0094341898","1.01738459297","1.20622561041"
"8","BARCELONA","2.81865099951","2.80841417381","2.846876379","2.80458587691","2.78794391671"
"9","BURGOS","1.27525838656","1.27776136209","1.24543296797","1.2660000862","1.28100299809"
"10","CµCERES","0.199960007998","0.204599394386","0.20067843819","0.219365060021","0.212868513321"
"11","CµDIZ","1.09966613813","0.980282569064","0.946863224443","0.9495418622","0.975668756426"
"12","CASTELL‡N","0.205204923594","0.205181155104","0.205106489966","0.240984279515","0.246805149887"
"13","CIUDAD REAL","0.179430468805","0.179186117791","0.00942951438001","0.0914351895947","0.105848006112"
"14","C‡RDOBA","0.248591749545","0.248447421552","0.246522675278","0.247768110136","0.248954962988"
"15","A CORU•A","4.39104154036","4.26671777601","4.31580106038","4.13876422258","4.10703353595"
"16","CUENCA","0.0796764075501","0.0792801363618","0.078778719767","0.0787782025965","0.0793487058226"
"17","GIRONA","1.47265138246","1.28170461305","1.27853960439","1.2835588082","1.27031774258"
"18","GRANADA","1.41912761416","1.34523377824","1.33314325125","1.34252666623","1.31544948439"
"19","GUADALAJARA","0.158356933701","0.15783384324","0.151664731069","0.151299070631","0.149619379485"
"20","GUIPÈZCOA","3.02848396293","2.99443644055","2.94915293137","2.93661219818","2.93126924729"
"21","HUELVA","1.04564983418","1.02469335832","1.02807885453","1.03389313787","1.11156067565"
"22","HUESCA","0.0596337592675","0.0596480763495","0.0596799365005","0.0601579748419","0.0606949879596"
"23","JAêN","0.0901290648208","0.0903979316953","0.0910100293052","0.0918832388638","0.0928420818083"
"24","LE‡N","1.76001891907","1.59843367065","1.81251015728","1.8212127054","1.69177695941"
"25","LLEIDA","2.64876013833","2.64433125358","2.63898717279","2.58052896186","2.6049993417"
"26","LA RIOJA","0.350773965783","0.352743720308","0.355400656918","0.364156587333","0.367617024753"
"27","LUGO","0.0168765030152","0.0167958974865","0.016772946622","0.0167807165243","0.0168875998537"
"28","MADRID","4.57020161448","4.58289842646","4.53537814317","4.44283390371","4.43596914366"
"29","MALAGA","1.59099412509","1.54482544697","1.37475083913","1.3824268078","1.39144733702"
"30","MURCIA","2.18550407898","2.1914147007","2.18906985475","2.24212811318","2.40016229966"
"31","NAVARRA","3.05770257652","3.07570433629","3.1036435261","3.02089837294","3.06243076952"
"32","OURENSE","0.118044047029","0.0906159759664","0.0909630949729","0.0917461253645","0.0922999257833"
"33","ASTURIAS","5.88371688598","6.04655497821","6.05694938288","6.11997277382","6.16911979667"
"34","PALENCIA","0.389691959967","0.387427300407","0.38607828941","0.385016080083","0.386354153125"
"35","LAS PALMAS","1.46601667373","1.46962515218","1.46698552213","1.47217423172","1.44912447853"
"36","PONTEVEDRA","4.0778351842","3.80468347187","3.72257276845","3.77660990658","3.81067514651"
"37","SALAMANCA","0.11479559574","0.114586580358","0.115966982824","0.116275746949","0.117437708253"
"38","SANTA CRUZ DE TENERIFE","2.27606585057","2.26429345783","2.2732592307","2.1710188414","2.1829387622"
"39","CANTABRIA","4.31002995106","4.11770797166","4.15391475923","4.12487167753","4.29370445001"
"40","SEGOVIA","0.0266027227626","0.0264390900391","0.0257868336553","0.0257445981397","0.025755207059"
"41","SEVILLA","15.1483339982","14.775841971","14.5680370707","14.7602662636","14.88814912"
"42","SORIA","","","","",""
"43","TARRAGONA","2.43685213132","2.42789939869","2.41218670129","2.43897020161","2.46703339235"
"44","TERUEL","","","","",""
"45","TOLEDO","0.223508830748","0.220575135526","0.219338946161","0.219420249233","0.215980867814"
"46","VALENCIA","0.552467565776","0.546395322639","0.545956435079","0.536533781367","0.532386937414"
"47","VALLADOLID","0.721460160408","0.727274086981","0.840383319608","0.952499041865","0.958127739026"
"48","VIZCAYA","0.623199309367","0.711212938192","0.64310680148","0.787757675017","0.668457902344"
"49","ZAMORA","0.381022995253","0.341291633701","0.229630712064","0.233706910288","0.23728374822"
"50","ZARAGOZA","1.02337318598","1.02329643233","0.992710580393","0.981976992514","0.960305631328"
"51","CEUTA","2.02285955398","1.97873166942","","",""
"52","MELILLA","","","","",""
