"CODAUTO";"AUTONOMIA";"CODPROV";"NOMBRE";"2014_H_PUBLICO";"2014_CAMAS_PUB";"2014_H_PRIVADO_";"2014_CAMAS_PRIV";"2013_H_PUBLICO";"2013_CAMAS_PUB";"2013_H_PRIVADO";"2013_CAMAS_PRIV";"2012_H_PUBLICO";"2012_CAMAS_PUB";"2012_H_PRIVADO";"2012_CAMAS_PRIV";"2011_H_PUBLICO";"2011_CAMAS_PUB";"2011_H_PRIVADO";"2011_CAMAS_PRIV";"2010_H_PUBLICO";"2010_CAMAS_PUB";"2010_H_PRIVADO";"2010_CAMAS_PRIV";"2014";"2013";"2012";"2011";"2010";"2009";"2008";"2007";"2006";"2005";"2004";"2003";"2002";"2001";"2000";"1999";"1998";"1997"
8;"CASTILLA-LA MANCHA";16;"CUENCA";1;436;1;60;1;436;1;60;1;411;1;60;1;411;1;60;1;411;1;60;"756156.0";"761632.0";"761627.0";"756810.0";"753046.0";"747782.0";"731864.0";"706185.0";"687331.0";"664506.0";"636198.0";"619692.0";"598112.0";"579650.0";"565599.0";"553348.0";"543191.0";" 530631.0"
9;"CATALU•A";17;"GIRONA";9;1722;15;1168;9;1731;15;1180;9;1731;15;1180;8;1595;15;1185;7;1442;16;1352;"919455.0";"919319.0";"922928.0";"924550.0";"918072.0";"907428.0";"901220.0";"884099.0";"876184.0";"860898.0";"841687.0";"828107.0";"818959.0";"812637.0";"809004.0";"813061.0";"801177.0";" 808053.0"
1;"ANDALUC÷A";18;"GRANADA";9;1880;3;336;9;2069;3;346;9;2069;3;346;8;2029;3;345;8;2029;3;357;"255426.0";"257723.0";"259537.0";"256461.0";"251563.0";"246151.0";"237787.0";"224076.0";"213505.0";"203737.0";"193913.0";"185474.0";"177761.0";"171532.0";"165347.0";"161669.0";"159331.0";" 157255.0"
8;"CASTILLA-LA MANCHA";19;"GUADALAJARA";3;744;2;107;3;744;2;108;3;744;2;108;4;873;2;112;3;726;2;112;"715148.0";"713818.0";"712097.0";"709607.0";"707263.0";"705698.0";"701056.0";"694944.0";"691895.0";"688708.0";"686513.0";"684416.0";"682977.0";"680069.0";"679370.0";"677275.0";"676439.0";" 676208.0"
16;"PA÷S VASCO";20;"GUIPÈZCOA";5;1585;11;1522;5;1622;11;1529;5;1601;11;1542;5;1612;11;1563;5;1620;11;1569;"519229.0";"520668.0";"522862.0";"521968.0";"518081.0";"513403.0";"507915.0";"497671.0";"492174.0";"483792.0";"476707.0";"472446.0";"464934.0";"461730.0";"458998.0";"457507.0";"453958.0";" 454735.0"
1;"ANDALUC÷A";21;"HUELVA";5;999;3;250;5;1015;3;234;5;1015;3;234;5;989;3;234;5;989;3;239;"224909.0";"226329.0";"227609.0";"228361.0";"228566.0";"228409.0";"225271.0";"220107.0";"218023.0";"215864.0";"212901.0";"211286.0";"208963.0";"205955.0";"205430.0";"205429.0";"204956.0";" 206916.0"
2;"ARAG‡N";22;"HUESCA";6;714;1;40;6;729;1;40;6;730;1;40;6;727;1;40;7;742;1;40;"659033.0";"664916.0";"670242.0";"670600.0";"670761.0";"669782.0";"667438.0";"664742.0";"662751.0";"660284.0";"654458.0";"651565.0";"647387.0";"645781.0";"645711.0";"649662.0";"645792.0";" 648551.0"
1;"ANDALUC÷A";23;"JAêN";11;1375;1;45;11;1485;1;45;11;1485;1;45;10;1439;1;45;10;1439;1;45;"484694.0";"489752.0";"494451.0";"497799.0";"499284.0";"500169.0";"500200.0";"497387.0";"498223.0";"495902.0";"492720.0";"495998.0";"496655.0";"499517.0";"502155.0";"506511.0";"506365.0";" 517191.0"
7;"CASTILLA Y LE‡N";24;"LE‡N";5;1484;7;741;5;1449;8;803;5;1449;8;803;5;1449;8;707;5;1401;9;774;"438001.0";"440915.0";"443032.0";"442308.0";"439768.0";"436402.0";"426872.0";"414015.0";"407496.0";"399439.0";"385092.0";"377639.0";"371055.0";"365023.0";"361590.0";"359361.0";"357903.0";" 356456.0"
9;"CATALU•A";25;"LLEIDA";5;818;10;831;5;818;10;831;5;818;11;854;5;748;11;854;5;748;11;854;"319002.0";"322027.0";"323609.0";"322955.0";"322415.0";"321702.0";"317501.0";"308968.0";"306377.0";"301084.0";"293553.0";"287390.0";"281614.0";"270400.0";"264178.0";"265178.0";"263644.0";" 264941.0"
17;"LA RIOJA";26;"LA RIOJA";7;909;2;126;6;834;2;126;5;804;2;124;5;807;2;124;6;970;2;124;"342748.0";"346005.0";"348902.0";"351530.0";"353504.0";"355195.0";"355549.0";"355176.0";"356595.0";"357625.0";"358452.0";"360512.0";"361782.0";"364125.0";"365619.0";"366934.0";"367751.0";" 370303.0"
12;"GALICIA";27;"LUGO";5;1136;2;109;5;1136;2;109;7;1336;2;109;8;1336;2;109;7;1216;2;109;"6454440.0";"6495551.0";"6498560.0";"6489680.0";"6458684.0";"6386932.0";"6271638.0";"6081689.0";"6008183.0";"5964143.0";"5804829.0";"5718942.0";"5527152.0";"5372433.0";"5205408.0";"5145325.0";"5091336.0";" 5022289.0"
13;"MADRID";28;"MADRID";39;14635;47;7195;41;14792;48;7344;40;14694;48;7443;39;14062;50;7451;39;14514;51;7356;"1621968.0";"1652999.0";"1641098.0";"1625827.0";"1609557.0";"1593068.0";"1563261.0";"1517523.0";"1491287.0";"1453409.0";"1397925.0";"1374890.0";"1330010.0";"1302240.0";"1278851.0";"1258084.0";"1240580.0";" 1249290.0"
1;"ANDALUC÷A";29;"MALAGA";12;2521;24;2041;12;2891;24;2035;12;2891;23;2027;12;2745;27;2271;12;2671;27;2326;"1466818.0";"1472049.0";"1474449.0";"1470069.0";"1461979.0";"1446520.0";"1426109.0";"1392117.0";"1370306.0";"1335792.0";"1294694.0";"1269230.0";"1226993.0";"1190378.0";"1149328.0";"1131128.0";"1115068.0";" 1097249.0"
14;"REGI‡N DE MURCIA";30;"MURCIA";13;3225;16;1538;13;3244;15;1445;14;3236;15;1411;14;3163;15;1407;13;3142;15;1392;"640790.0";"644477.0";"644566.0";"642051.0";"636924.0";"630578.0";"620377.0";"605876.0";"601874.0";"593472.0";"584734.0";"578210.0";"569628.0";"556263.0";"543757.0";"538009.0";"530819.0";" 520574.0"
15;"C. FORAL DE NAVARRA";31;"NAVARRA";4;1435;7;987;7;1435;7;987;7;1389;7;1025;6;1369;7;1025;6;1376;7;1025;"322293.0";"326724.0";"330257.0";"333257.0";"335219.0";"335642.0";"336099.0";"336926.0";"338671.0";"339555.0";"340258.0";"342213.0";"343768.0";"344623.0";"345241.0";"345620.0";"344170.0";" 346913.0"
12;"GALICIA";32;"OURENSE";6;1083;2;98;7;1083;2;98;7;1083;2;98;7;1073;2;98;7;1098;3;128;"1061756.0";"1068165.0";"1077360.0";"1081487.0";"1084341.0";"1085289.0";"1080138.0";"1074862.0";"1076896.0";"1076635.0";"1073761.0";"1075381.0";"1073971.0";"1075329.0";"1076567.0";"1084314.0";"1081834.0";" 1087885.0"
3;"PPDO. DE ASTURIAS";33;"ASTURIAS";11;2802;11;1034;12;2983;11;1034;12;3112;11;1034;12;3132;11;1038;12;3167;11;1015;"167609.0";"168955.0";"170713.0";"171668.0";"172510.0";"173306.0";"173454.0";"173281.0";"173153.0";"173471.0";"173990.0";"175047.0";"176125.0";"177345.0";"178316.0";"179465.0";"179623.0";" 180571.0"
7;"CASTILLA Y LE‡N";34;"PALENCIA";3;495;3;425;3;495;3;425;3;497;3;425;3;505;3;425;3;505;3;425;"1100027.0";"1103850.0";"1100813.0";"1096980.0";"1090605.0";"1083502.0";"1070032.0";"1042131.0";"1024186.0";"1011928.0";"987128.0";"979606.0";"951037.0";"924558.0";"897595.0";"872669.0";"849863.0";" 834085.0"
5;"CANARIAS";35;"LAS PALMAS";12;2479;12;1378;12;2547;12;1406;12;2487;12;1406;12;2471;12;1416;12;2471;12;1411;"950919.0";"955050.0";"958428.0";"963511.0";"962472.0";"959764.0";"953400.0";"947639.0";"943117.0";"938311.0";"930931.0";"927555.0";"919934.0";"916176.0";"912621.0";"908803.0";"906298.0";" 915104.0"
12;"GALICIA";36;"PONTEVEDRA";10;1965;11;1305;10;1965;11;1305;10;1977;11;1305;10;1971;12;1343;10;1962;14;1442;"342459.0";"345548.0";"350564.0";"352986.0";"353619.0";"354608.0";"353404.0";"351326.0";"353110.0";"352414.0";"350984.0";"348271.0";"347120.0";"350209.0";"349733.0";"351128.0";"349550.0";" 353020.0"
7;"CASTILLA Y LE‡N";37;"SALAMANCA";4;957;1;118;4;977;1;118;4;977;1;118;4;1010;1;118;4;1011;1;118;"1004788.0";"1014829.0";"1017531.0";"1029789.0";"1027914.0";"1020490.0";"1005936.0";"983820.0";"971647.0";"956352.0";"928412.0";"915262.0";"892718.0";"856808.0";"818681.0";"800020.0";"780152.0";" 772449.0"
5;"CANARIAS";38;"SANTA CRUZ DE TENERIFE";12;2455;10;1285;12;2456;10;1285;12;2419;11;1350;12;2419;11;1343;12;2433;12;1348;"588656.0";"591888.0";"593861.0";"593121.0";"592250.0";"589235.0";"582138.0";"572824.0";"568091.0";"562309.0";"554784.0";"549690.0";"542275.0";"537606.0";"531159.0";"528478.0";"527137.0";" 527437.0"
