CODAUTO,AUTONOMIA,CODPROV,NOMBRE,2014_H_PUBLICO,2014_CAMAS_PUB,2014_H_PRIVADO_,2014_CAMAS_PRIV,2013_H_PUBLICO,2013_CAMAS_PUB,2013_H_PRIVADO,2013_CAMAS_PRIV,2012_H_PUBLICO,2012_CAMAS_PUB,2012_H_PRIVADO,2012_CAMAS_PRIV,2011_H_PUBLICO,2011_CAMAS_PUB,2011_H_PRIVADO,2011_CAMAS_PRIV,2010_H_PUBLICO,2010_CAMAS_PUB,2010_H_PRIVADO,2010_CAMAS_PRIV
"16","PA÷S VASCO","1","µLAVA","0.00931873811861","3.41687064349","0.00931873811861","0.596399239591","0.0124448924606","3.37567707993","0.00933366934543","0.650245631065","0.0124009089866","3.35134565364","0.00930068173997","0.576642267878","0.0125302684297","3.31425599965","0.00939770132226","0.654706525451","0.0126043005874","3.22985202551","0.00945322544052","0.652272555396"
"8","CASTILLA-LA MANCHA","2","ALBACETE","0.0176328192107","2.72049210679","0.00503794834592","0.269530236506","0.0174996937554","2.68745296957","0.0074998687523","0.267495318832","0.0173767553626","2.66609075135","0.00744718086968","0.389735798847","0.0173991717994","2.68195805308","0.00745678791404","0.390238567501","0.0174267206397","2.72354748283","0.00746859455988","0.390856448633"
"10","COMUNIDAD VALENCIANA","3","ALICANTE","0.00695768336975","2.41699216137","0.00695768336975","0.506840473165","0.00668159918423","2.39458235379","0.00770953752026","0.527846335554","0.00668755240726","2.39362933469","0.00823083373201","0.545292734746","0.0067213786892","2.2795814339","0.00827246607901","0.655075907632","0.00674874174901","2.13415979463","0.0077870097104","0.636977394311"
"1","ANDALUC÷A","4","ALMER÷A","0.00997594372428","1.80137040964","0.00285026963551","0.235147244929","0.0100095949117","1.910402686","0.00285988426048","0.23594045149","0.00994008965961","1.99653800877","0.00284002561703","0.234302113405","0.00853704865691","1.88668775318","0.00426852432845","0.230500313737","0.00862614296394","1.90637759503","0.00431307148197","0.253033526942"
"7","CASTILLA Y LE‡N","5","µVILA","0.0179624584618","2.57461904619","0.00598748615394","0.19758704308","0.0177698800533","2.54701614097","0.0059232933511","0.195468680586","0.0175167138645","2.51072898724","0.00583890462149","0.192683852509","0.0173707615342","2.48980915323","0.00579025384473","0.191078376876","0.017452413087","2.43170289012","0.00581747102899","0.191976543957"
"11","EXTREMADURA","6","BADAJOZ","0.0217099007279","3.42726966157","0.00868396029114","0.597745933374","0.0216222761338","3.58641486805","0.00720742537792","0.566503634705","0.0215972459192","3.5289899832","0.00575926557845","0.421866203622","0.0216162934974","3.48598759801","0.0072054311658","0.451059990979","0.0216720100211","3.53542723478","0.00866880400845","0.486897825142"
"4","ILLES BALEARS","7","ILLES BALEARS","0.00996880669759","2.30823187807","0.0117813170062","1.20622561041","0.0116940757812","2.28844067595","0.00989498719948","1.01738459297","0.0133995688912","2.98185073059","0.00982635052022","1.0094341898","0.0116789475292","2.23606926155","0.01078056695","1.09602430658","0.0117535479893","2.18344756878","0.0108494289132","1.10392939192"
"9","CATALU•A","8","BARCELONA","0.0070603774514","1.93291410381","0.0197328498001","2.78794391671","0.00703853598452","1.91664749117","0.019852280982","2.80458587691","0.00702443241686","1.91424789042","0.0207130699471","2.846876379","0.0077770356436","1.8867450194","0.0206181875202","2.80841417381","0.0074394676825","1.83355660809","0.0205038987347","2.81865099951"
"7","CASTILLA Y LE‡N","9","BURGOS","0.0109021531753","2.66830198964","0.0109021531753","1.28100299809","0.016161703228","2.62627677456","0.0107744688187","1.2660000862","0.0133344000853","2.71755073739","0.0106675200683","1.24543296797","0.0133100141885","2.71258089161","0.0133100141885","1.27776136209","0.0160074274463","2.72393057045","0.0133395228719","1.27525838656"
"11","EXTREMADURA","10","CµCERES","0.0171273516466","3.19302769982","0.00734029356281","0.212868513321","0.0170617268905","3.1807933703","0.00731216866736","0.219365060021","0.0169246875582","3.10930688569","0.00725343752493","0.20067843819","0.0168493618906","3.14601657014","0.00722115509597","0.204599394386","0.0168640970601","3.2017692847","0.00722747016862","0.199960007998"
